node_id,lat,lon
1957,7767411.409207908,1076934.2129255706
1958,7759558.43675632,1077590.8574969654
1959,7789215.451978739,1072809.0338910187
1960,7789169.423098976,1072805.1154714106
1961,7897620.024862664,1090777.2719873495
1962,7889169.982625462,1090426.9807044966
1971,8278960.225951459,674135.823808559
1972,8278345.962258704,672846.4403156443
1973,8279487.870152772,674455.9117556876
1974,8279202.133358212,677430.5793600962
1975,8278963.740898723,678738.8011858603
1979,8772145.088468626,658476.728458082
1988,8769202.21501191,522390.6256519809
1989,8767079.846828453,508625.13461541926
1992,8764616.807913704,525330.9969096278
1999,8121405.320892084,1181172.1528256447
2000,8151893.338904272,1194422.086984452
2001,8152363.936394729,1194139.0749848513
2002,8026340.577364312,1135690.4819100765
2003,8025699.867411631,1132504.4304831368
2015,8021881.771657015,1123255.8526507122
2112,8102004.420426887,1178027.2612339605
2113,8101928.586400992,1178039.019936163
2115,8043826.310098896,1172258.8394188806
2116,7608491.722992497,853890.9217418849
2117,7608365.279415043,853807.5488744328
2118,8006434.466485842,1098809.0823060954
2119,8007274.27414621,1097993.435598764
2123,8052358.856532775,825456.7556539602
2126,7554786.440610689,679448.7209975118
2127,7554949.223372173,680537.9014772931
2134,7628866.159470068,840591.7739333629
2135,7637310.972878026,845199.2265149243
2136,7601341.670736382,748170.3749722093
2137,7600050.093520455,746188.6315575601
2138,7599409.279679261,730724.6792367799
2139,7598091.38325103,736784.3571989364
2140,7625855.34413611,840364.3566425687
2141,7627445.91446512,840302.4662332002
2164,8211243.472047945,489244.7903879866
2171,8176477.800530016,590590.446073544
2172,8176589.133913157,590610.3833619964
2184,8176603.28568477,590499.3816255283
2187,8176051.687367449,590964.0218358921
2188,8176470.924320417,590626.0568786903
2189,8176328.396403423,590571.06400625
2190,8176599.43174228,589974.7682734036
2191,8176552.785166345,590158.3655520175
2207,8175408.471786692,592238.3295277697
2208,8175273.080297282,592088.3882986153
2218,7893069.396740705,864327.0863654495
2219,7893952.184611357,865328.3015660845
2220,7893903.051574593,868401.8400244229
2221,7894279.222111944,869541.4446038434
2245,7890221.507544266,893449.3725382995
2251,7714902.679707589,644830.153692724
2252,7720880.576985584,647607.6451485851
2254,7671158.747149665,607012.3399083333
2265,8159054.519769339,574915.6013473156
2336,8075756.61183086,795780.1297892701
2349,8074908.016204774,796406.8420368801
2351,8171289.616181567,597822.8212432141
2364,8172170.203365942,597346.7052390113
2384,8172517.187911679,597316.7306902718
2385,8172272.503213084,597335.2588816636
2411,8173052.336500721,597338.5238354346
2414,8173244.9734745715,597348.0513257699
2423,8173261.342567119,597349.0966286258
2425,8173309.246181033,597351.7361617133
2427,8173357.639906859,597353.6415219066
2432,8173541.874677673,597361.8396991158
2434,8173591.494908608,597364.081472848
2436,8173639.179905195,597366.1330542603
2438,8173686.18091667,597367.7546379712
2440,8173735.101843534,597370.5055394166
2442,8173783.239458377,597372.7726314255
2444,8173830.682169941,597374.577656412
2446,8173878.754513753,597376.5989873532
2448,8173926.41606922,597378.9386421982
2467,8174088.056537965,597397.5260139034
2468,8173946.071299557,597379.9134664607
2473,8173577.7895786995,597363.5925177317
2475,8173509.088090843,597360.6666893854
2482,8173083.183150264,597130.1910832002
2483,8173328.526263847,597107.8415633884
2484,8170867.188062545,597561.1491818654
2485,8170976.48008115,597530.272319491
2550,8171270.981398339,597697.3153773241
2581,8170388.111674964,598386.9645091675
2591,8171220.044218766,598291.5650718629
2595,8171496.813157428,598060.3419001291
2597,8171531.573212491,598121.1789811905
2604,8171355.133922031,598138.0448391589
2605,8171317.993407886,598739.1683928681
2614,8171218.218790732,598513.6818017727
2635,8171137.873026489,598909.039420567
2673,8170538.847844883,599310.2868911226
2687,8175345.678721111,592297.2650452568
2732,8076473.091774184,795425.8076875162
2862,8074591.403225949,799535.2561341897
2885,8175656.656066441,591750.9030374291
2903,8174708.711302204,593415.4186260522
2905,8174653.781381883,592822.5116357713
2943,8175268.543251669,594114.4287160856
2945,8175261.023679398,593949.0241856133
2953,8173728.316212429,594062.8456469014
2965,8174392.377623851,591385.9798068119
2966,8174372.943412321,591452.762064664
2971,8172824.115243344,595671.5167892067
2972,8172905.448105538,595503.4402811036
2980,8176861.604386408,591727.7823302296
2991,8171404.098773403,597691.955595396
3007,8074707.635240771,800018.2142151262
3008,8074854.396604992,799634.9051632502
3009,8074899.872742112,799974.9990703762
3010,8074849.378668109,800110.7433785561
3013,8074965.2078654785,799803.9414742643
3016,8074952.803492479,799836.9398059475
3033,8075311.456998886,799974.609688189
3035,8075309.265099743,800044.4184786777
3036,8075308.064305748,800112.3488497881
3039,8075210.499023516,800647.0172779005
3052,8074784.753822723,800292.0194192962
3055,8074775.51279278,800452.0767904136
3162,8176020.776230195,590772.7705649079
3163,8175857.287688438,590842.8358395463
3177,8175077.156481078,592977.3373721943
3178,8175219.60793483,592887.4225049985
3179,8175339.28649534,592775.3999526454
3182,8175423.174893402,592671.0669749219
3183,8175145.17663667,592550.4693525857
3192,8175888.127764371,593798.2961559285
3206,8175562.749749794,594000.3353108894
3215,8174706.242830354,593779.4420064564
3223,8157486.618087757,603367.7589934049
3224,8157538.905733328,603338.0127834536
3225,8157778.801554955,603173.4018376451
3226,8159272.130567174,602479.4739847933
3227,8159290.889375592,602455.225270752
3228,8162411.393950189,600539.094373539
3229,8163476.438161419,599551.5598108384
3230,8163464.187503988,599440.5387120252
3231,8164400.894029969,599142.5626066166
3232,8165600.760543088,598775.3926136328
3234,8173090.8217985695,594422.3247059246
3249,8175287.234931481,592350.6687967796
3298,8176656.112373685,592577.0093974633
3316,8176846.92563063,591516.5670269096
3319,8176855.3295062035,591608.6552084553
3341,8175152.624422794,593540.354189982
3342,8175144.511917186,593602.1487766595
3360,8174914.154423844,593784.6600071752
3361,8174937.144046275,593865.8330907065
3482,8174726.487904968,592143.2245058632
3488,8174660.467286942,592136.9436121355
3589,8172217.514282299,593295.819399016
3627,8173459.774748934,590026.392084
3628,8173371.394473737,589991.1879204167
3630,8173291.378487308,589955.8482701236
3672,8172945.284805875,589779.4752907872
3763,8172976.603554906,588636.090583014
3764,8173066.029018938,588665.124376468
3776,8172919.712370248,589764.8759249154
3783,8172815.0798956975,589719.0725740506
3790,8173022.521454316,589807.5238288159
3815,8172987.116283306,588656.8909511459
3816,8172971.582697658,588651.7470223185
4045,8171531.245527535,588157.5731719085
