node_id,lat,lon
415,8074431.613457301,803521.9920827167
416,8074406.180687911,803363.831594174
417,8074421.070314221,803020.2559992234
418,8074438.613340412,803530.9448596686
425,8076401.585025003,803517.3513770141
426,8076385.286944132,803463.3645540325
427,8074267.336514221,801479.1809714539
428,8073581.089568108,801052.0144496408
429,8073544.410881945,801032.0957000551
430,8074559.921869344,801048.4538544382
431,8074638.45027283,801088.4224888359
432,8075709.081950052,801724.0014267123
433,8075692.726015512,801625.0401807395
434,8075940.522978032,801679.4429716629
435,8075856.096184057,801631.661398357
436,8075814.813810288,801715.3900004441
437,8075867.142216934,801710.7305947904
438,8075882.37690201,801699.969738035
439,8075862.471930464,801697.7497661781
440,8075764.231711091,801724.042299058
441,8076157.610569399,802501.7536779641
442,8076151.261405586,802469.8369604403
443,8075976.6659445055,802659.5380452945
444,8076026.671452517,802648.7414411528
445,8076194.758918466,802721.8510181608
446,8076204.73349105,802760.2246485112
447,8075567.487962643,803769.544754005
448,8075483.952799808,803764.6928491662
449,8075886.319132989,802713.5540799099
450,8075848.446778324,802813.4558790167
451,8074779.188491187,803722.6415700163
452,8074726.506385013,803643.2823908927
453,8074957.528043336,803546.4596151921
454,8074984.200723171,803686.0632953634
455,8075175.115560987,803305.2710103248
456,8075242.514765074,803292.0770158548
457,8075312.291811195,802986.060382297
458,8075261.8497048225,803113.9450085409
459,8075977.565443729,801801.8765443759
460,8075987.478443354,801825.0816237668
461,8075853.374697799,801817.56335833
462,8075844.52222893,801821.4524009014
463,8075981.148598406,801827.6679944925
464,8075945.76733419,801842.7886245307
465,8076059.434826701,802105.0170998392
466,8075969.038452852,802119.2041552037
467,8073910.169550035,802728.4973463109
468,8073917.0335518755,802722.7823287311
469,8076081.469281794,802177.9756050745
470,8076045.598415384,802026.7242543251
471,8074638.717679967,801024.6807991259
472,8074635.12823461,800980.5460275746
473,8074614.713737542,800916.1688715953
474,8074617.705505816,800953.5415685567
475,8178530.427801416,576494.2614521501
476,8179789.867201501,573914.7749798353
477,8172400.996911025,569108.0898664214
478,8174889.934429936,579286.4084655852
481,7622353.444588009,1107432.696518838
482,7621461.77662447,1105986.526533769
485,7637894.934903037,1076544.7722254307
486,7638216.82009887,1076748.068589463
487,7620490.062802199,1105932.7427579896
488,7605851.62958901,1123089.5377080292
489,7612680.716790745,1000187.5232409833
490,7612715.775457207,1000236.5545200176
491,7639218.65195096,1070032.5900542731
492,7639369.857504867,1070105.0232531764
493,7612493.6706343265,942003.2607655312
494,7613488.438078362,942364.532343576
495,7592770.180485954,910100.4501998792
496,7594514.2734782975,907271.481828599
497,7618608.552541079,917771.0012950862
498,7618397.379262416,918589.6486708004
499,7618579.515323125,917685.8872407832
500,7618691.756759642,917721.1630083836
501,7582660.027750282,885595.8553396268
502,7582306.966857604,886574.0838698458
503,7574825.397341035,870049.2230863279
504,7575596.717231488,869940.959058511
505,7552579.665985464,851249.1415298446
506,7552607.767725246,851246.9905650554
507,7574180.2469428945,861890.2237415981
508,7573909.611535843,860605.1041088876
509,7622378.842160539,840754.9420081242
510,7624770.113368696,840728.1326359928
511,7624774.144898169,840161.9328119598
512,7625534.539574597,840102.2808437699
513,7624276.32688305,840278.515898396
514,7624716.812573163,840326.0942198033
515,7744735.494151483,755278.9962239636
516,7739505.148785267,750527.041265642
517,7764712.942898139,777084.5979991184
518,7767947.132742943,778345.4239108148
519,7772393.5848801825,786200.8235988118
520,7771380.628593188,784139.9501729041
521,7807197.275889656,807419.8519661546
522,7785949.155617019,795668.0773105113
523,7810009.122768337,810925.6658580758
524,7810848.212274672,812635.5897932027
525,7542452.866243327,620965.7362077143
526,7539697.764630886,629529.150518932
527,7679959.24931882,790631.4611727057
528,7680062.769227073,790815.0809415071
529,7850268.366390632,828071.6539097033
530,7852818.669979734,825387.7226364885
531,7832002.654586121,835534.4045552782
532,7833955.162355453,833492.1606597994
533,7831892.856476949,840204.7592877974
534,7831686.4484651135,840642.4758407956
535,7831673.07659727,840051.6597744462
536,7831832.209189231,840797.9367397745
537,7831852.446480492,840756.6062292543
538,7834726.056729718,863006.4809200485
539,7832265.810441392,868003.5363242177
540,7836116.159349984,894028.5337641768
541,7834090.290661143,891908.6634875552
542,7847672.602964453,900837.5958021692
543,7847493.709272476,900958.5782976116
544,7875740.726982866,895675.4277549826
545,7871085.698005267,899303.4477497583
546,7888125.595205545,892394.4089430178
547,7888113.943745235,892393.7709150751
548,7890775.511615031,893430.6920495533
549,7890939.770924458,893594.3842142972
550,7889335.216833286,894257.5067025549
551,7889435.178495435,894349.998087146
552,7885089.322300389,898223.1650366145
553,7885775.958653986,897300.0990917508
554,7874561.362768443,929481.1687832624
555,7873739.454696946,929155.8928923132
556,7873912.913871173,929690.7369693356
557,7873670.082189482,929466.5511121114
558,7874459.622146147,928778.6140818436
559,7874422.160606179,928818.4130918446
560,7874191.954960611,929159.4030262552
561,7874375.295723093,929759.2526482134
562,7873951.170205546,929578.3888181878
563,7883679.260113753,937479.5401725213
564,7883511.411498362,934956.4733603592
